target_grade,assignment_preference,trimester_or_semester,age,pay_rent,urinal_choice,stall_choice,weetbix_count,weekly_food_spend,living_arrangements,weekly_alcohol,believe_in_aliens,height,commute,daily_anxiety_frequency,weekly_study_hours,work_status,social_media,gender,average_daily_sleep,sleep_schedule,sibling_count,allergy_count,random_number,favourite_number,favourite_letter,drivers_license,dominant_hand,enrolled_unit,weekly_exercise_hours,weekly_paid_work_hours,assignments_on_time,used_r_before,team_role_type,university_year,wam
Distinction,draw up a schedule and work through it in planned stages,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,2,100,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,181,Train,8,20,Contractor,Instagram,Male,6,7,2,0,7,2,P,Yes,Left,DATA2002,7,10,Always,Yes,9,Second year,80.1
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,100,College or student accomodation,I don't drink alcohol,Yes,162,Walk,3,24,Casual,Other,Male,8,8,1,0,6,1,V,Yes,Right,DATA2902,3,5,Usually,Yes,7,Second year,83.1
Distinction,cram at the last second,semester,20,no,C: Furthest from the entrance,A: Closest to the entrance,4,50,With parent(s) and/or sibling(s),Between 5 and 10 standard drinks,Yes,194.5,"Train, Bus, Car, Walk",2,36,Contractor,Other,Male,8,8,2,2,2,8,G,Yes,Left,DATA2002,11,4.5,Always,No,9,Third year,62
Distinction,cram at the last second,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,0,0,With parent(s) and/or sibling(s),I don't drink alcohol,No,180,Train,10,20,Casual,Discord,Male,8,8,1,0,5,5,X,Yes,Right,DATA2902,0,2,Usually,Yes,5,Second year,72
High Distinction,do them immediately,semester,18,no,C: Furthest from the entrance,C: Furthest from the entrance,2,150,With parent(s) and/or sibling(s),I don't drink alcohol,No,175,"Train, Bus, Walk",7,20,Casual,Discord,Male,8,9,1,0,4,7,J,Yes,Left,DATA2902,3,20,Always,Yes,8,First year,92.8
High Distinction,do them immediately,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,0,250,i live with my girlfriends parents (its complicated),Between 5 and 10 standard drinks,Yes,NA,"Train, Car",1,50,Self employed,Youtube,Male,8,4,0,0,8,4,E,Yes,Right,DATA2902,0,6.5,Always,Yes,10,Second year,91.8
Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,A: Closest to the entrance,1.5,60,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,152.4,"Train, Bus",5,9,Part time,Tiktok,Female,6,4,2,1,3,5,R,Yes,Right,DATA2002,2,9,Usually,Yes,9,Second year,71
High Distinction,do them immediately,trimester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,210,Share house,I don't drink alcohol,Yes,160,Walk,10,35,I don't currently work,Wechat,Female,8,7,0,3,4,6,U,Yes,Right,DATA2002,0,0,Always,Yes,9,Second year,84
High Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,4,70,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,180,"Train, Walk",4,25,Part time,Twitter,Male,7,7,2,0,3,7,A,Yes,Right,DATA2002,8,16,Always,Yes,8,Fourth year,60
High Distinction,draw up a schedule and work through it in planned stages,semester,19,no,A: Closest to the entrance,B: Middle,2,50,With parent(s) and/or sibling(s),Between 5 and 10 standard drinks,Yes,165,"Train, Bus",1,10,Casual,Tiktok,Female,9,8,1,0,5,7,A,Yes,Right,DATA2002,5,25,Always,Yes,9,Second year,87
High Distinction,do them immediately,semester,23,yes,C: Furthest from the entrance,A: Closest to the entrance,1,120,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,179,"Bus, Walk, Bike",10,30,I don't currently work,Youtube,Male,6,1,5,NA,2,3,B,Yes,Right,DATA2002,3,0,Usually,Yes,2,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,3,85,With parent(s) and/or sibling(s),I don't drink alcohol,No,152.4,"Train, Car, Walk",5,16,Casual,Discord,Male,8.5,7,0,3,5,5,Q,Yes,Right,DATA2902,6,12,Always,No,9,Second year,78
Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,1,20,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,175,Train,6,8,Part time,Tiktok,Female,6,4,2,0,7,7,M,Yes,Right,DATA2902,NA,10,Usually,Yes,6,Second year,60
Credit,do them immediately,semester,20,yes,C: Furthest from the entrance,A: Closest to the entrance,0,200,College or student accomodation,I don't drink alcohol,No,150,Walk,8,30,I don't currently work,Youtube,Female,6,6,1,0,10,10,O,No,Right,DATA2002,0,0,Always,Yes,7,Second year,78
Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,A: Closest to the entrance,0,60,With parent(s) and/or sibling(s),I don't drink alcohol,No,160.02,Walk,4,20,I don't currently work,Instagram,Female,8,8,1,0,3,3,P,No,Right,DATA2002,2,0,Always,Yes,9,Second year,74
High Distinction,cram at the last second,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,600,With partner,Between 5 and 10 standard drinks,Yes,185,I never travel to campus,5,5,Self employed,Instagram,NA,10,10,1,0,10,1,S,Yes,Right,DATA2002,7,10,Always,Yes,5,Second year,69
High Distinction,do them immediately,trimester,21,yes,C: Furthest from the entrance,A: Closest to the entrance,5,150,Alone,Less than 5 standard drinks,No,173,"Train, Walk",10,35,Self employed,Discord,Male,8,9,1,0,9,8,W,No,Right,DATA2902,15,0,Always,No,7,Third year,83
Distinction,do them immediately,semester,20,no,C: Furthest from the entrance,A: Closest to the entrance,0,200,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,175,"Train, Walk",6,10,I don't currently work,Instagram,Male,8,5,1,0,1,6,I,Yes,Right,DATA2002,3,0,Usually,Yes,8,Second year,75
Distinction,do them immediately,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,2,50,With parent(s) and/or sibling(s),I don't drink alcohol,No,155,"Train, Walk",9,25,Casual,Tiktok,Female,8,7,1,0,3,3,C,No,Right,DATA2002,3,10,Always,Yes,8,Second year,74
Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,300,Share house,I don't drink alcohol,No,163,Walk,8,10,I don't currently work,Tiktok,Female,6,8,0,NA,7,7,C,No,Right,DATA2002,2,0,Always,Yes,2,Second year,72
High Distinction,do them immediately,semester,19,no,A: Closest to the entrance,A: Closest to the entrance,2,150,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,170,Train,4,36,Part time,Discord,Male,8,8,1,1,5,3,A,Yes,Right,DATA2902,8,12,Always,Yes,9,Second year,78
High Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,B: Middle,NA,15,With parent(s) and/or sibling(s),I don't drink alcohol,No,182,Car,5,6,Casual,Youtube,Male,9,9,2,0,2,1,Q,Yes,Left,DATA2002,10,5,Always,Yes,7,Second year,85
Credit,draw up a schedule and work through it in planned stages,semester,22,no,C: Furthest from the entrance,C: Furthest from the entrance,7,100,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,177.8,Bus,4,2,Casual,Instagram,Male,7,7,1,0,3,6,A,No,Right,DATA2002,2,15,Always,Yes,6,Fifth or higher year,65
Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,2,60,With parent(s) and/or sibling(s),I don't drink alcohol,No,163,"Train, Bus, Walk",10,10,I don't currently work,Twitter,Female,8,8,2,0,7,7,Z,Yes,Right,DATA2002,5,0,Always,Yes,6,Second year,55
High Distinction,draw up a schedule and work through it in planned stages,semester,23,yes,A: Closest to the entrance,B: Middle,NA,210,Share house,Less than 5 standard drinks,Yes,179,Walk,2,30,I don't currently work,Instagram,Male,6,3,1,0,8,3,NA,No,Right,DATA2002,0,0,Always,Yes,5,Second year,78
Distinction,cram at the last second,semester,20,no,C: Furthest from the entrance,B: Middle,NA,NA,College or student accomodation,Less than 5 standard drinks,Yes,162.56,Walk,9,NA,Casual,Tiktok,Female,7,1,1,0,5,8,Q,Yes,Left,DATA2902,7,NA,Always,Yes,9,Third year,75
Distinction,do them immediately,trimester,25,yes,C: Furthest from the entrance,A: Closest to the entrance,2,280,Share house,I don't drink alcohol,No,168,Tram,9,70,Part time,Other,Female,7,9,0,5,1,1,E,Yes,Right,DATA2002,2,60,Sometimes,Yes,6,Second year,75
Credit,cram at the last second,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,3,60,With parent(s) and/or sibling(s),Between 5 and 10 standard drinks,Yes,170,"Train, Bus, Walk",9,7,Part time,Tiktok,Female,5,1,1,0,7,3,G,Yes,Right,DATA2002,3,25,Always,Yes,9,Second year,72
High Distinction,draw up a schedule and work through it in planned stages,semester,19,no,A: Closest to the entrance,A: Closest to the entrance,1,50,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,155,"Train, Bus, Walk",7,6,Part time,Tiktok,Female,6,3,0,0,3,9,N,No,Right,DATA2902,1,10,Usually,Yes,7,Second year,83
Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,4,45,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,182,Train,3,2,Casual,Instagram,Male,8,9,NA,0,9,9,G,Yes,Right,DATA2902,7,9,Always,Yes,6,Second year,77
High Distinction,cram at the last second,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,4,NA,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,175,Train,4,30,Casual,Instagram,Male,7,2,2,0,8,2,T,Yes,Right,DATA2902,6,16,Usually,Yes,6,Second year,80
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,400,Sharing with one roommate,Less than 5 standard drinks,Yes,165,"Bus, Walk",7,25,Casual,Youtube,Male,6,1,1,1,8,8,E,Yes,Right,DATA2902,5,4,Always,Yes,8,Second year,89.4
High Distinction,draw up a schedule and work through it in planned stages,semester,19,no,A: Closest to the entrance,A: Closest to the entrance,2,0,With parent(s) and/or sibling(s),I don't drink alcohol,No,169,"Train, Car",3,20,I don't currently work,Instagram,Male,8,4,2,0,4,4,X,Yes,Right,DATA2902,2,0,Always,Yes,6,Second year,84
High Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,C: Furthest from the entrance,B: Middle,6,120,College or student accomodation,I don't drink alcohol,Yes,166,Walk,5,10,Part time,Instagram,Female,7,5,1,0,5,5,A,Yes,Right,DATA2902,5,25,Usually,Yes,9,Second year,59.2
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,A: Closest to the entrance,C: Furthest from the entrance,3,NA,College or student accomodation,Between 5 and 10 standard drinks,Yes,182,Walk,7,NA,Casual,NA,Male,8,4,2,0,7,4,S,Yes,Right,DATA2902,10,NA,Always,Yes,8,Second year,75
Credit,draw up a schedule and work through it in planned stages,semester,23,yes,A: Closest to the entrance,A: Closest to the entrance,0,300,With partner,Less than 5 standard drinks,Yes,175,Bus,4,28,I don't currently work,Instagram,Female,10,6,NA,0,6,6,Y,Yes,Right,DATA2002,2,0,Always,Yes,3,Third year,60
Credit,cram at the last second,semester,20,yes,C: Furthest from the entrance,A: Closest to the entrance,0,300,Share house,I don't drink alcohol,Yes,164,Train,7,4,Part time,Youtube,Female,5,3,1,1,4,4,G,No,Right,DATA2002,4,30,Usually,Yes,7,Second year,61
High Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,2,50,With parent(s) and/or sibling(s),I don't drink alcohol,No,163,Train,7,18,Part time,Instagram,Female,8,4,1,1,8,8,N,No,Right,DATA2902,0,26,Always,Yes,2,Second year,70
Distinction,cram at the last second,semester,21,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,150,College or student accomodation,I don't drink alcohol,Yes,162,Walk,7,15,I don't currently work,Instagram,Female,8,4,1,0,6,6,R,No,Right,DATA2002,0,0,Usually,No,7,Second year,60
High Distinction,draw up a schedule and work through it in planned stages,semester,21,no,B: Middle,B: Middle,0,0,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,170,Car,10,10,Casual,Other,Female,8,7,2,0,6,2,A,Yes,Left,DATA2902,7,0,Usually,Yes,10,Third year,84
High Distinction,draw up a schedule and work through it in planned stages,semester,20,no,C: Furthest from the entrance,A: Closest to the entrance,1,40,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,161,"Train, Bus, Walk",10,50,Casual,Instagram,Female,7,5,0,2,5,4,C,Yes,Right,DATA2002,4,4,Always,Yes,9,Second year,75
Distinction,cram at the last second,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,5,10,With parent(s) and/or sibling(s),I don't drink alcohol,No,176,Train,5,4,Part time,Other,Male,9,4,3,0,1,2,T,Yes,Left,DATA2002,5,12,Usually,Yes,6,Second year,66
High Distinction,do them immediately,semester,18,yes,A: Closest to the entrance,A: Closest to the entrance,NA,60,College or student accomodation,I don't drink alcohol,Yes,167,Walk,5,80,I don't currently work,Twitter,Male,8,8,1,7,1,1,W,No,Right,DATA2902,7,0,Always,Yes,10,Second year,87
High Distinction,cram at the last second,semester,18,yes,C: Furthest from the entrance,B: Middle,0,210,Share house,Less than 5 standard drinks,Yes,157,"Bus, Walk",6,3,I don't currently work,Tiktok,Female,8,6,2,0,2,9,N,Yes,Right,DATA2002,0,0,Always,Yes,8,Second year,76
Distinction,draw up a schedule and work through it in planned stages,semester,21,no,C: Furthest from the entrance,C: Furthest from the entrance,2,60,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,157.48,"Train, Car, Walk",6,3,Part time,Instagram,Female,9,6,1,0,8,8,F,Yes,Right,DATA2002,3,24,Always,Yes,9,Fourth year,75
High Distinction,do them immediately,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,6,75,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,170,"Train, Walk",5,15,Casual,Other,Male,8,7,2,0,1,1,F,Yes,Right,DATA2002,1,10,Always,Yes,7,Second year,85
High Distinction,draw up a schedule and work through it in planned stages,semester,23,yes,C: Furthest from the entrance,C: Furthest from the entrance,NA,30,Alone,I don't drink alcohol,No,180,Bus,9,20,I don't currently work,Wechat,Male,7,4,0,1,9,9,X,No,Right,DATA2002,3,0,Always,Yes,5,Second year,80
High Distinction,do them immediately,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,2,50,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,172,Train,4,5,Self employed,Instagram,Female,7,7,1,0,3,8,M,Yes,Right,DATA2902,3,8,Always,Yes,7,Second year,84
High Distinction,draw up a schedule and work through it in planned stages,semester,19,no,A: Closest to the entrance,A: Closest to the entrance,0,15,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,172,"Train, Walk",4,25,Casual,Instagram,Male,8,7,1,1,8,6,E,Yes,Right,DATA2902,5,7,Always,Yes,9,Second year,75
Distinction,cram at the last second,semester,22,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,200,Share house,Less than 5 standard drinks,No,170,"Train, Bus, Walk",3,7,I don't currently work,Instagram,Male,7,3,2,2,7,7,R,Yes,Right,DATA2902,5,0,Always,Yes,8,Second year,70
High Distinction,do them immediately,semester,21,no,C: Furthest from the entrance,C: Furthest from the entrance,2,20,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,178,"Train, Walk",5,4,I don't currently work,Tiktok,Male,8,8,2,1,8,8,N,Yes,Right,DATA2002,9,0,Always,Yes,8,Fourth year,73
High Distinction,cram at the last second,semester,18,no,C: Furthest from the entrance,B: Middle,NA,40,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,173,"Train, Walk",3,20,Part time,Instagram,Female,7,8,1,NA,4,8,M,Yes,Right,DATA2902,18,20,Usually,Yes,7,First year,84
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,B: Middle,0,20,With partner,I don't drink alcohol,Yes,165,"Train, Bus, Walk",6,30,I don't currently work,Tiktok,Female,8,8,2,3,6,6,J,No,Right,DATA2902,5,0,Always,Yes,8,Second year,88
Credit,draw up a schedule and work through it in planned stages,semester,22,yes,B: Middle,B: Middle,0,400,Alone,I don't drink alcohol,No,167,"Bus, Car",8,15,I don't currently work,Tiktok,Female,7,5,0,NA,8,8,V,No,Right,DATA2002,2,30,Always,Yes,3,Second year,60
High Distinction,draw up a schedule and work through it in planned stages,semester,22,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,60,Share house,Less than 5 standard drinks,No,173,Bus,5,24,I don't currently work,Instagram,Male,7,7,0,NA,4,4,X,Yes,Right,DATA2002,1,0,Always,Yes,9,Second year,50
High Distinction,cram at the last second,semester,22,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,20,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,179,Train,7,12,I don't currently work,Youtube,NA,6,3,1,0,1,7,W,No,Right,DATA2002,1,0,Usually,Yes,5,Second year,72
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,A: Closest to the entrance,C: Furthest from the entrance,0,200,Alone,Less than 5 standard drinks,Yes,170,Train,1,20,I don't currently work,Other,Male,8,10,1,0,3,3,X,Yes,Right,DATA2002,9,40,Always,Yes,6,Second year,60
High Distinction,do them immediately,semester,19,yes,A: Closest to the entrance,A: Closest to the entrance,0,0,With parent(s) and/or sibling(s),I don't drink alcohol,No,167,Train,3,25,I don't currently work,Youtube,Male,8,7,1,0,10,1,T,Yes,Right,DATA2002,5,0,Always,Yes,2,Second year,80
High Distinction,draw up a schedule and work through it in planned stages,semester,22,no,C: Furthest from the entrance,C: Furthest from the entrance,5,200,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,172.72,"Train, Car, Walk",3,10,Casual,Instagram,Male,7,7,2,0,4,2,R,Yes,Right,DATA2002,10,25,Usually,No,9,Third year,75
Distinction,cram at the last second,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,0,50,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,170,"Train, Walk",8,NA,Casual,Discord,Female,8,8,1,0,7,2,L,Yes,Right,DATA2002,1,1.5,Usually,Yes,5,Second year,67
High Distinction,cram at the last second,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,2,20,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,186,Car,6,1,Casual,Instagram,Male,8,8,1,0,9,7,NA,Yes,Right,DATA2002,20,1,Always,Yes,7,Third year,81
High Distinction,do them immediately,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,0,100,College or student accomodation,More than 20 standard drinks,No,170,Walk,1,50,Casual,Instagram,Male,8,8,0,1,6,1,V,Yes,Right,DATA2002,15,20,Always,Yes,9,Second year,70
Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,NA,50,Share house,I don't drink alcohol,Yes,159,"Train, Walk",7,NA,I don't currently work,NA,Female,7,7,2,NA,8,6,V,No,Right,DATA2002,NA,NA,Always,Yes,9,Second year,75
Distinction,cram at the last second,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,3,NA,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,175,"Train, Bus, Walk",2,NA,Casual,Instagram,Male,6,1,1,1,9,9,E,Yes,Left,DATA2902,4,20,Usually,Yes,5,Third year,75
Distinction,draw up a schedule and work through it in planned stages,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,2,30,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,154,Train,6,10,Casual,Tiktok,Female,9,7,1,0,4,8,B,Yes,Right,DATA2002,4,13,Always,Yes,8,First year,87
Fail,cram at the last second,trimester,20,yes,C: Furthest from the entrance,B: Middle,10,250,With parent(s) and/or sibling(s),I don't drink alcohol,No,152.4,"Train, I never travel to campus",10,5,I don't currently work,Other,Male,9,10,NA,1,1,1,K,No,Ambidextrous,DATA2002,11,40,Never,Yes,4,Third year,52
High Distinction,cram at the last second,semester,20,no,C: Furthest from the entrance,B: Middle,4,150,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,NA,"Train, Walk",7,46,Casual,Youtube,Male,7,3,0,0,4,9,Y,Yes,Right,DATA2902,0,5,Usually,Yes,7,Third year,89
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,B: Middle,B: Middle,3,150,Share house,Less than 5 standard drinks,Yes,180,Train,2,20,I don't currently work,Wechat,Male,8,7,0,NA,7,7,X,No,Right,DATA2002,5,NA,Always,Yes,8,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,A: Closest to the entrance,C: Furthest from the entrance,2,40,College or student accomodation,I don't drink alcohol,Yes,170,Walk,7,20,I don't currently work,Twitter,Male,7,2,1,0,1,3,S,No,Right,DATA2002,4,0,Usually,Yes,8,Second year,86
High Distinction,do them immediately,trimester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,3,350,Alone,I don't drink alcohol,Yes,177,Car,10,65,Casual,Other,NA,7,3,1,2,2,8,E,Yes,Right,DATA2002,5,6,Always,Yes,8,First year,91.25
High Distinction,draw up a schedule and work through it in planned stages,semester,20,no,C: Furthest from the entrance,A: Closest to the entrance,3,50,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,178,Train,4,5,I don't currently work,Twitter,Male,8,10,0,0,7,7,J,Yes,Right,DATA2002,5,0,Always,No,8,Second year,78
Distinction,cram at the last second,semester,20,no,B: Middle,B: Middle,0,700,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,170,Walk,4,13,I don't currently work,Instagram,Male,9,8,3,1,4,7,L,Yes,Right,DATA2002,3,0,Always,Yes,7,Second year,75
Fail,cram at the last second,semester,20,no,B: Middle,C: Furthest from the entrance,5,10,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,175,"Train, Walk",8,6,I don't currently work,Instagram,Male,7,3,1,2,7,7,D,Yes,Right,DATA2002,8,0,Usually,No,8,Third year,75
High Distinction,cram at the last second,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,NA,130,Share house,I don't drink alcohol,Yes,163,"Train, Bus, Walk",8,18,I don't currently work,Wechat,Female,8,6,1,2,7,7,A,No,Right,DATA2002,7,NA,Always,Yes,6,Second year,84
High Distinction,draw up a schedule and work through it in planned stages,NA,22,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,500,Alone,Less than 5 standard drinks,Yes,152.4,Walk,5,55,I don't currently work,Instagram,NA,6,5,0,1,1,9,A,Yes,Right,DATA2902,10,0,Usually,Yes,6,Third year,82
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,A: Closest to the entrance,1,50,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,165,Bus,10,25,I don't currently work,Instagram,Female,6,6,0,0,4,2,A,Yes,Right,DATA2002,3,0,Usually,Yes,10,Second year,82
Distinction,draw up a schedule and work through it in planned stages,trimester,19,yes,B: Middle,B: Middle,0,500,Share house,I don't drink alcohol,Yes,176,Train,7,31,I don't currently work,Wechat,Male,8,7,1,NA,9,7,A,Yes,Right,DATA2002,5,NA,Always,Yes,8,Second year,75
High Distinction,cram at the last second,semester,19,yes,C: Furthest from the entrance,B: Middle,4,100,College or student accomodation,Less than 5 standard drinks,Yes,182,Walk,5,10,I don't currently work,Instagram,Male,8,4,0,0,8,8,T,No,Right,DATA2002,8,0,Usually,Yes,10,Second year,68
High Distinction,do them immediately,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,150,College or student accomodation,I don't drink alcohol,Yes,174,Walk,7,40,Part time,Other,Female,8,4,1,1,1,1,A,Yes,Right,DATA2002,4,2,Always,No,8,Second year,67
Distinction,draw up a schedule and work through it in planned stages,semester,20,yes,C: Furthest from the entrance,C: Furthest from the entrance,2,100,With parent(s) and/or sibling(s),Between 5 and 10 standard drinks,Yes,152.4,Walk,6,15,Casual,Instagram,Female,7,8,1,0,1,1,A,Yes,Left,DATA2002,0,10,Always,Yes,10,Second year,70
